topic,timestamp,payload
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.767Z","{""level"":""info"",""message"":""z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/livinglab/sensors', payload '{\""count\"":6,\""sensors\"":[{\""ieeeAddr\"":\""0x00124b002a6b62b7\"",\""friendlyName\"":\""Sensor-4-despacho\"",\""modelID\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""manufacturerName\"":\""unknown\"",\""lastUpdate\"":1746111294736,\""firstSeen\"":1746111294736,\""hasExternalConverter\"":false,\""state\"":{\""contact\"":true,\""battery_low\"":false,\""last_seen\"":\""2025-04-26T01:58:34+02:00\"",\""linkquality\"":102,\""voltage\"":3100,\""battery\"":100},\""processed\"":{\""contact\"":false,\""battery\"":100,\""voltage\"":3100,\""battery_low\"":false,\""lastUpdateHuman\"":\""5/1/2025, 4:54:54 PM\""}},{\""ieeeAddr\"":\""0x00124b00292c38e7\"",\""friendlyName\"":\""sensor2-1948-Info-dudosa\"",\""modelID\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""manufacturerName\"":\""unknown\"",\""lastUpdate\"":1746111294793,\""firstSeen\"":1746111294793,\""hasExternalConverter\"":false,\""state\"":{\""contact\"":true,\""battery_low\"":false,\""last_seen\"":\""2025-04-26T01:58:48+02:00\"",\""linkquality\"":105},\""processed\"":{\""contact\"":false,\""battery_low\"":false,\""lastUpdateHuman\"":\""5/1/2025, 4:54:54 PM\""}},{\""ieeeAddr\"":\""0x00124b002a5705d0\"",\""friendlyName\"":\""sensor-3\"",\""modelID\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""manufacturerName\"":\""unknown\"",\""lastUpdate\"":1746111294795,\""firstSeen\"":1746111294795,\""hasExternalConverter\"":false,\""state\"":{\""voltage\"":3100,\""battery\"":100,\""contact\"":true,\""battery_low\"":false,\""last_seen\"":\""2025-04-09T09:00:42+02:00\"",\""linkquality\"":123},\""processed\"":{\""contact\"":false,\""battery\"":100,\""voltage\"":3100,\""battery_low\"":false,\""lastUpdateHuman\"":\""5/1/2025, 4:54:54 PM\""}},{\""ieeeAddr\"":\""0x00124b00292c39a0\"",\""friendlyName\"":\""Sensor-1-Defectuoso\"",\""modelID\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""manufacturerName\"":\""unknown\"",\""lastUpdate\"":1746111294841,\""firstSeen\"":1746111294841,\""hasExternalConverter\"":false,\""state\"":{\""battery\"":100,\""voltage\"":3000,\""last_seen\"":\""2025-04-26T01:59:16+02:00\"",\""linkquality\"":127,\""contact\"":true,\""battery_low\"":false},\""processed\"":{\""contact\"":false,\""battery\"":100,\""voltage\"":3000,\""battery_low\"":false,\""lastUpdateHuman\"":\""5/1/2025, 4:54:54 PM\""}},{\""ieeeAddr\"":\""0x00124b00292d93d5\"",\""friendlyName\"":\""Nuevo-s5-etiqueta-Rosa\"",\""modelID\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""manufacturerName\"":\""unknown\"",\""lastUpdate\"":1746111294843,\""firstSeen\"":1746111294843,\""hasExternalConverter\"":false,\""state\"":{\""battery\"":100,\""contact\"":false,\""battery_low\"":false,\""voltage\"":3100,\""last_seen\"":\""2025-04-09T14:55:44+02:00\"",\""linkquality\"":182},\""processed\"":{\""contact\"":true,\""battery\"":100,\""voltage\"":3100,\""battery_low\"":false,\""lastUpdateHuman\"":\""5/1/2025, 4:54:54 PM\""}},{\""ieeeAddr\"":\""0x00124b002a6b60a6\"",\""friendlyName\"":\""Sensor-6-OLAF\"",\""modelID\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""manufacturerName\"":\""unknown\"",\""lastUpdate\"":1746111754443,\""firstSeen\"":1746111294845,\""hasExternalConverter\"":false,\""state\"":{\""battery\"":100,\""voltage\"":3100,\""contact\"":true,\""battery_low\"":false,\""last_seen\"":\""2025-04-26T01:58:40+02:00\"",\""linkquality\"":109},\""processed\"":{\""contact\"":false,\""battery\"":100,\""voltage\"":3100,\""battery_low\"":false,\""lastUpdateHuman\"":\""5/1/2025, 5:02:34 PM\""}}],\""timestamp\"":1746111754443}'""}"
"zigbee2mqtt/livinglab/sensors","2025-05-01T15:02:34.768Z","{""count"":6,""sensors"":[{""ieeeAddr"":""0x00124b002a6b62b7"",""friendlyName"":""Sensor-4-despacho"",""modelID"":""unknown"",""model"":""SNZB-04"",""manufacturerName"":""unknown"",""lastUpdate"":1746111294736,""firstSeen"":1746111294736,""hasExternalConverter"":false,""state"":{""contact"":true,""battery_low"":false,""last_seen"":""2025-04-26T01:58:34+02:00"",""linkquality"":102,""voltage"":3100,""battery"":100},""processed"":{""contact"":false,""battery"":100,""voltage"":3100,""battery_low"":false,""lastUpdateHuman"":""5/1/2025, 4:54:54 PM""}},{""ieeeAddr"":""0x00124b00292c38e7"",""friendlyName"":""sensor2-1948-Info-dudosa"",""modelID"":""unknown"",""model"":""SNZB-04"",""manufacturerName"":""unknown"",""lastUpdate"":1746111294793,""firstSeen"":1746111294793,""hasExternalConverter"":false,""state"":{""contact"":true,""battery_low"":false,""last_seen"":""2025-04-26T01:58:48+02:00"",""linkquality"":105},""processed"":{""contact"":false,""battery_low"":false,""lastUpdateHuman"":""5/1/2025, 4:54:54 PM""}},{""ieeeAddr"":""0x00124b002a5705d0"",""friendlyName"":""sensor-3"",""modelID"":""unknown"",""model"":""SNZB-04"",""manufacturerName"":""unknown"",""lastUpdate"":1746111294795,""firstSeen"":1746111294795,""hasExternalConverter"":false,""state"":{""voltage"":3100,""battery"":100,""contact"":true,""battery_low"":false,""last_seen"":""2025-04-09T09:00:42+02:00"",""linkquality"":123},""processed"":{""contact"":false,""battery"":100,""voltage"":3100,""battery_low"":false,""lastUpdateHuman"":""5/1/2025, 4:54:54 PM""}},{""ieeeAddr"":""0x00124b00292c39a0"",""friendlyName"":""Sensor-1-Defectuoso"",""modelID"":""unknown"",""model"":""SNZB-04"",""manufacturerName"":""unknown"",""lastUpdate"":1746111294841,""firstSeen"":1746111294841,""hasExternalConverter"":false,""state"":{""battery"":100,""voltage"":3000,""last_seen"":""2025-04-26T01:59:16+02:00"",""linkquality"":127,""contact"":true,""battery_low"":false},""processed"":{""contact"":false,""battery"":100,""voltage"":3000,""battery_low"":false,""lastUpdateHuman"":""5/1/2025, 4:54:54 PM""}},{""ieeeAddr"":""0x00124b00292d93d5"",""friendlyName"":""Nuevo-s5-etiqueta-Rosa"",""modelID"":""unknown"",""model"":""SNZB-04"",""manufacturerName"":""unknown"",""lastUpdate"":1746111294843,""firstSeen"":1746111294843,""hasExternalConverter"":false,""state"":{""battery"":100,""contact"":false,""battery_low"":false,""voltage"":3100,""last_seen"":""2025-04-09T14:55:44+02:00"",""linkquality"":182},""processed"":{""contact"":true,""battery"":100,""voltage"":3100,""battery_low"":false,""lastUpdateHuman"":""5/1/2025, 4:54:54 PM""}},{""ieeeAddr"":""0x00124b002a6b60a6"",""friendlyName"":""Sensor-6-OLAF"",""modelID"":""unknown"",""model"":""SNZB-04"",""manufacturerName"":""unknown"",""lastUpdate"":1746111754443,""firstSeen"":1746111294845,""hasExternalConverter"":false,""state"":{""battery"":100,""voltage"":3100,""contact"":true,""battery_low"":false,""last_seen"":""2025-04-26T01:58:40+02:00"",""linkquality"":109},""processed"":{""contact"":false,""battery"":100,""voltage"":3100,""battery_low"":false,""lastUpdateHuman"":""5/1/2025, 5:02:34 PM""}}],""timestamp"":1746111754443}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.769Z","{""level"":""info"",""message"":""z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/livinglab/sensors_compatible', payload '{\""0x00124b002a6b62b7\"":{\""battery\"":100,\""battery_low\"":false,\""contact\"":true,\""device\"":{\""applicationVersion\"":5,\""dateCode\"":\""20230630\"",\""friendlyName\"":\""Sensor-4-despacho\"",\""hardwareVersion\"":1,\""ieeeAddr\"":\""0x00124b002a6b62b7\"",\""manufacturerID\"":0,\""manufacturerName\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""networkAddress\"":0,\""powerSource\"":\""Battery\"",\""type\"":\""EndDevice\"",\""zclVersion\"":1},\""linkquality\"":102,\""voltage\"":3100},\""0x00124b00292c38e7\"":{\""battery_low\"":false,\""contact\"":true,\""device\"":{\""applicationVersion\"":5,\""dateCode\"":\""20230630\"",\""friendlyName\"":\""sensor2-1948-Info-dudosa\"",\""hardwareVersion\"":1,\""ieeeAddr\"":\""0x00124b00292c38e7\"",\""manufacturerID\"":0,\""manufacturerName\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""networkAddress\"":0,\""powerSource\"":\""Battery\"",\""type\"":\""EndDevice\"",\""zclVersion\"":1},\""linkquality\"":105},\""0x00124b002a5705d0\"":{\""battery\"":100,\""battery_low\"":false,\""contact\"":true,\""device\"":{\""applicationVersion\"":5,\""dateCode\"":\""20230630\"",\""friendlyName\"":\""sensor-3\"",\""hardwareVersion\"":1,\""ieeeAddr\"":\""0x00124b002a5705d0\"",\""manufacturerID\"":0,\""manufacturerName\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""networkAddress\"":0,\""powerSource\"":\""Battery\"",\""type\"":\""EndDevice\"",\""zclVersion\"":1},\""linkquality\"":123,\""voltage\"":3100},\""0x00124b00292c39a0\"":{\""battery\"":100,\""battery_low\"":false,\""contact\"":true,\""device\"":{\""applicationVersion\"":5,\""dateCode\"":\""20230630\"",\""friendlyName\"":\""Sensor-1-Defectuoso\"",\""hardwareVersion\"":1,\""ieeeAddr\"":\""0x00124b00292c39a0\"",\""manufacturerID\"":0,\""manufacturerName\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""networkAddress\"":0,\""powerSource\"":\""Battery\"",\""type\"":\""EndDevice\"",\""zclVersion\"":1},\""linkquality\"":127,\""voltage\"":3000},\""0x00124b00292d93d5\"":{\""battery\"":100,\""battery_low\"":false,\""contact\"":false,\""device\"":{\""applicationVersion\"":5,\""dateCode\"":\""20230630\"",\""friendlyName\"":\""Nuevo-s5-etiqueta-Rosa\"",\""hardwareVersion\"":1,\""ieeeAddr\"":\""0x00124b00292d93d5\"",\""manufacturerID\"":0,\""manufacturerName\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""networkAddress\"":0,\""powerSource\"":\""Battery\"",\""type\"":\""EndDevice\"",\""zclVersion\"":1},\""linkquality\"":182,\""voltage\"":3100},\""0x00124b002a6b60a6\"":{\""battery\"":100,\""battery_low\"":false,\""contact\"":true,\""device\"":{\""applicationVersion\"":5,\""dateCode\"":\""20230630\"",\""friendlyName\"":\""Sensor-6-OLAF\"",\""hardwareVersion\"":1,\""ieeeAddr\"":\""0x00124b002a6b60a6\"",\""manufacturerID\"":0,\""manufacturerName\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""networkAddress\"":0,\""powerSource\"":\""Battery\"",\""type\"":\""EndDevice\"",\""zclVersion\"":1},\""linkquality\"":109,\""voltage\"":3100}}'""}"
"zigbee2mqtt/livinglab/sensors_compatible","2025-05-01T15:02:34.801Z","{""0x00124b002a6b62b7"":{""battery"":100,""battery_low"":false,""contact"":true,""device"":{""applicationVersion"":5,""dateCode"":""20230630"",""friendlyName"":""Sensor-4-despacho"",""hardwareVersion"":1,""ieeeAddr"":""0x00124b002a6b62b7"",""manufacturerID"":0,""manufacturerName"":""unknown"",""model"":""SNZB-04"",""networkAddress"":0,""powerSource"":""Battery"",""type"":""EndDevice"",""zclVersion"":1},""linkquality"":102,""voltage"":3100},""0x00124b00292c38e7"":{""battery_low"":false,""contact"":true,""device"":{""applicationVersion"":5,""dateCode"":""20230630"",""friendlyName"":""sensor2-1948-Info-dudosa"",""hardwareVersion"":1,""ieeeAddr"":""0x00124b00292c38e7"",""manufacturerID"":0,""manufacturerName"":""unknown"",""model"":""SNZB-04"",""networkAddress"":0,""powerSource"":""Battery"",""type"":""EndDevice"",""zclVersion"":1},""linkquality"":105},""0x00124b002a5705d0"":{""battery"":100,""battery_low"":false,""contact"":true,""device"":{""applicationVersion"":5,""dateCode"":""20230630"",""friendlyName"":""sensor-3"",""hardwareVersion"":1,""ieeeAddr"":""0x00124b002a5705d0"",""manufacturerID"":0,""manufacturerName"":""unknown"",""model"":""SNZB-04"",""networkAddress"":0,""powerSource"":""Battery"",""type"":""EndDevice"",""zclVersion"":1},""linkquality"":123,""voltage"":3100},""0x00124b00292c39a0"":{""battery"":100,""battery_low"":false,""contact"":true,""device"":{""applicationVersion"":5,""dateCode"":""20230630"",""friendlyName"":""Sensor-1-Defectuoso"",""hardwareVersion"":1,""ieeeAddr"":""0x00124b00292c39a0"",""manufacturerID"":0,""manufacturerName"":""unknown"",""model"":""SNZB-04"",""networkAddress"":0,""powerSource"":""Battery"",""type"":""EndDevice"",""zclVersion"":1},""linkquality"":127,""voltage"":3000},""0x00124b00292d93d5"":{""battery"":100,""battery_low"":false,""contact"":false,""device"":{""applicationVersion"":5,""dateCode"":""20230630"",""friendlyName"":""Nuevo-s5-etiqueta-Rosa"",""hardwareVersion"":1,""ieeeAddr"":""0x00124b00292d93d5"",""manufacturerID"":0,""manufacturerName"":""unknown"",""model"":""SNZB-04"",""networkAddress"":0,""powerSource"":""Battery"",""type"":""EndDevice"",""zclVersion"":1},""linkquality"":182,""voltage"":3100},""0x00124b002a6b60a6"":{""battery"":100,""battery_low"":false,""contact"":true,""device"":{""applicationVersion"":5,""dateCode"":""20230630"",""friendlyName"":""Sensor-6-OLAF"",""hardwareVersion"":1,""ieeeAddr"":""0x00124b002a6b60a6"",""manufacturerID"":0,""manufacturerName"":""unknown"",""model"":""SNZB-04"",""networkAddress"":0,""powerSource"":""Battery"",""type"":""EndDevice"",""zclVersion"":1},""linkquality"":109,""voltage"":3100}}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.801Z","{""level"":""info"",""message"":""z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/livinglab/simple_sensors', payload '{\""0x00124b002a6b62b7\"":{\""name\"":\""Sensor-4-despacho\"",\""contact\"":false,\""battery\"":100,\""last_update\"":1746111294736},\""0x00124b00292c38e7\"":{\""name\"":\""sensor2-1948-Info-dudosa\"",\""contact\"":false,\""last_update\"":1746111294793},\""0x00124b002a5705d0\"":{\""name\"":\""sensor-3\"",\""contact\"":false,\""battery\"":100,\""last_update\"":1746111294795},\""0x00124b00292c39a0\"":{\""name\"":\""Sensor-1-Defectuoso\"",\""contact\"":false,\""battery\"":100,\""last_update\"":1746111294841},\""0x00124b00292d93d5\"":{\""name\"":\""Nuevo-s5-etiqueta-Rosa\"",\""contact\"":true,\""battery\"":100,\""last_update\"":1746111294843},\""0x00124b002a6b60a6\"":{\""name\"":\""Sensor-6-OLAF\"",\""contact\"":false,\""battery\"":100,\""last_update\"":1746111754443}}'""}"
"zigbee2mqtt/livinglab/simple_sensors","2025-05-01T15:02:34.802Z","{""0x00124b002a6b62b7"":{""name"":""Sensor-4-despacho"",""contact"":false,""battery"":100,""last_update"":1746111294736},""0x00124b00292c38e7"":{""name"":""sensor2-1948-Info-dudosa"",""contact"":false,""last_update"":1746111294793},""0x00124b002a5705d0"":{""name"":""sensor-3"",""contact"":false,""battery"":100,""last_update"":1746111294795},""0x00124b00292c39a0"":{""name"":""Sensor-1-Defectuoso"",""contact"":false,""battery"":100,""last_update"":1746111294841},""0x00124b00292d93d5"":{""name"":""Nuevo-s5-etiqueta-Rosa"",""contact"":true,""battery"":100,""last_update"":1746111294843},""0x00124b002a6b60a6"":{""name"":""Sensor-6-OLAF"",""contact"":false,""battery"":100,""last_update"":1746111754443}}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.830Z","{""level"":""info"",""message"":""z2m: 📋 Lista de 6 sensores publicada""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.831Z","{""level"":""debug"",""message"":""z2m: Sensores: [\""Sensor-4-despacho\"",\""sensor2-1948-Info-dudosa\"",\""sensor-3\"",\""Sensor-1-Defectuoso\"",\""Nuevo-s5-etiqueta-Rosa\"",\""Sensor-6-OLAF\""]""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.832Z","{""level"":""info"",""message"":""z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Sensor-6-OLAF', payload '{\""battery\"":100,\""battery_low\"":false,\""contact\"":true,\""device\"":{\""applicationVersion\"":5,\""dateCode\"":\""20230630\"",\""friendlyName\"":\""Sensor-6-OLAF\"",\""hardwareVersion\"":1,\""ieeeAddr\"":\""0x00124b002a6b60a6\"",\""manufacturerID\"":0,\""manufacturerName\"":\""eWeLink\"",\""model\"":\""SNZB-04\"",\""networkAddress\"":52218,\""powerSource\"":\""Battery\"",\""type\"":\""EndDevice\"",\""zclVersion\"":1},\""last_seen\"":\""2025-05-01T17:02:34+02:00\"",\""linkquality\"":120,\""voltage\"":3100}'""}"
"zigbee2mqtt/Sensor-6-OLAF","2025-05-01T15:02:34.857Z","{""battery"":100,""battery_low"":false,""contact"":true,""device"":{""applicationVersion"":5,""dateCode"":""20230630"",""friendlyName"":""Sensor-6-OLAF"",""hardwareVersion"":1,""ieeeAddr"":""0x00124b002a6b60a6"",""manufacturerID"":0,""manufacturerName"":""eWeLink"",""model"":""SNZB-04"",""networkAddress"":52218,""powerSource"":""Battery"",""type"":""EndDevice"",""zclVersion"":1},""last_seen"":""2025-05-01T17:02:34+02:00"",""linkquality"":120,""voltage"":3100}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:03:36.628Z","{""level"":""debug"",""message"":""zh:zstack:unpi:parser: <-- [254,29,68,129,0,0,0,5,154,253,1,1,0,134,0,166,167,42,0,0,9,25,6,0,0,0,0,23,0,0,154,253,29,108]""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:03:36.629Z","{""level"":""debug"",""message"":""zh:zstack:unpi:parser: --- parseNext [254,29,68,129,0,0,0,5,154,253,1,1,0,134,0,166,167,42,0,0,9,25,6,0,0,0,0,23,0,0,154,253,29,108]""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:03:36.662Z","{""level"":""debug"",""message"":""zh:zstack:unpi:parser: --> parsed 29 - 2 - 4 - 129 - [0,0,0,5,154,253,1,1,0,134,0,166,167,42,0,0,9,25,6,0,0,0,0,23,0,0,154,253,29] - 108""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:03:36.662Z","{""level"":""debug"",""message"":""zh:zstack:znp: <-- AREQ: AF - incomingMsg - {\""groupid\"":0,\""clusterid\"":1280,\""srcaddr\"":64922,\""srcendpoint\"":1,\""dstendpoint\"":1,\""wasbroadcast\"":0,\""linkquality\"":134,\""securityuse\"":0,\""timestamp\"":2795430,\""transseqnumber\"":0,\""len\"":9,\""data\"":{\""type\"":\""Buffer\"",\""data\"":[25,6,0,0,0,0,23,0,0]}}""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:03:36.664Z","{""level"":""debug"",""message"":""zh:controller: Received payload: clusterID=1280, address=64922, groupID=0, endpoint=1, destinationEndpoint=1, wasBroadcast=false, linkQuality=134, frame={\""header\"":{\""frameControl\"":{\""frameType\"":1,\""manufacturerSpecific\"":false,\""direction\"":1,\""disableDefaultResponse\"":true,\""reservedBits\"":0},\""transactionSequenceNumber\"":6,\""commandIdentifier\"":0},\""payload\"":{\""zonestatus\"":0,\""extendedstatus\"":0},\""command\"":{\""ID\"":0,\""parameters\"":[{\""name\"":\""zonestatus\"",\""type\"":33},{\""name\"":\""extendedstatus\"",\""type\"":32}],\""name\"":\""statusChangeNotification\""}}""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:03:36.691Z","{""level"":""debug"",""message"":""zh:zstack:unpi:parser: --- parseNext []""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:03:36.693Z","{""level"":""debug"",""message"":""z2m: Received Zigbee message from 'Sensor-4-despacho', type 'commandStatusChangeNotification', cluster 'ssIasZone', data '{\""extendedstatus\"":0,\""zonestatus\"":0}' from endpoint 1 with groupID 0""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:03:36.694Z","{""level"":""debug"",""message"":""z2m: Evento Zigbee de 0x00124b002a6b62b7: tipo=commandStatusChangeNotification, cluster=ssIasZone""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:03:36.721Z","{""level"":""debug"",""message"":""z2m: Evento de zona IAS recibido de undefined: {\""zonestatus\"":0,\""extendedstatus\"":0}""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:03:36.723Z","{""level"":""debug"",""message"":""z2m: 📊 Cambio de estado para Sensor-4-despacho: {\""contact\"":true,\""battery_low\"":false}""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:03:36.723Z","{""level"":""info"",""message"":""z2m: 📣 Sensor-4-despacho: 🟢 CERRADO""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:03:36.751Z","{""level"":""info"",""message"":""z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/livinglab/event', payload '{\""battery\"":100,\""battery_low\"":false,\""contact\"":true,\""device\"":{\""applicationVersion\"":5,\""dateCode\"":\""20230630\"",\""friendlyName\"":\""Sensor-4-despacho\"",\""hardwareVersion\"":1,\""ieeeAddr\"":\""0x00124b002a6b62b7\"",\""manufacturerID\"":0,\""manufacturerName\"":\""eWeLink\"",\""model\"":\""SNZB-04\"",\""powerSource\"":\""Battery\"",\""type\"":\""EndDevice\"",\""zclVersion\"":1},\""linkquality\"":102,\""voltage\"":3100}'""}"
"zigbee2mqtt/livinglab/event","2025-05-01T15:03:36.751Z","{""battery"":100,""battery_low"":false,""contact"":true,""device"":{""applicationVersion"":5,""dateCode"":""20230630"",""friendlyName"":""Sensor-4-despacho"",""hardwareVersion"":1,""ieeeAddr"":""0x00124b002a6b62b7"",""manufacturerID"":0,""manufacturerName"":""eWeLink"",""model"":""SNZB-04"",""powerSource"":""Battery"",""type"":""EndDevice"",""zclVersion"":1},""linkquality"":102,""voltage"":3100}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:03:36.752Z","{""level"":""info"",""message"":""z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/livinglab/device/0x00124b002a6b62b7', payload '{\""battery\"":100,\""battery_low\"":false,\""contact\"":true,\""device\"":{\""applicationVersion\"":5,\""dateCode\"":\""20230630\"",\""friendlyName\"":\""Sensor-4-despacho\"",\""hardwareVersion\"":1,\""ieeeAddr\"":\""0x00124b002a6b62b7\"",\""manufacturerID\"":0,\""manufacturerName\"":\""eWeLink\"",\""model\"":\""SNZB-04\"",\""powerSource\"":\""Battery\"",\""type\"":\""EndDevice\"",\""zclVersion\"":1},\""linkquality\"":102,\""voltage\"":3100}'""}"
"zigbee2mqtt/livinglab/device/0x00124b002a6b62b7","2025-05-01T15:03:36.781Z","{""battery"":100,""battery_low"":false,""contact"":true,""device"":{""applicationVersion"":5,""dateCode"":""20230630"",""friendlyName"":""Sensor-4-despacho"",""hardwareVersion"":1,""ieeeAddr"":""0x00124b002a6b62b7"",""manufacturerID"":0,""manufacturerName"":""eWeLink"",""model"":""SNZB-04"",""powerSource"":""Battery"",""type"":""EndDevice"",""zclVersion"":1},""linkquality"":102,""voltage"":3100}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:03:36.781Z","{""level"":""info"",""message"":""z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/livinglab/event_new', payload '{\""device\"":\""Sensor-4-despacho\"",\""ieeeAddr\"":\""0x00124b002a6b62b7\"",\""type\"":\""contact\"",\""state\"":\""closed\"",\""battery\"":100,\""voltage\"":3100,\""timestamp\"":1746111816630}'""}"
"zigbee2mqtt/livinglab/event_new","2025-05-01T15:03:36.782Z","{""device"":""Sensor-4-despacho"",""ieeeAddr"":""0x00124b002a6b62b7"",""type"":""contact"",""state"":""closed"",""battery"":100,""voltage"":3100,""timestamp"":1746111816630}"
